Name,Coordinates,Adjacents
97,"0.723849,0.796054","62,10,3,47,32,48,12,96,45,21,41,66,71,85,26,76,34,54,5,6,46,69,37,24,79,36,59,98,27,39,68,30,93,23,42,99,44,95,86,77,11,7,81,15,57,35,72,56,33,82,63,9,40,18,74,61,70,17,28,50,2,87,90,53,60,13,58,84,73,22,20,43,16,14,78,75,29,51,55,1,91,19,88,89,49,67,92,4,80,52,8,94,0,64,83,25,38,65,31"
74,"0.806363,0.274574","50,57,33,58,15,73,75,56,44,16,18,87,36,40,72,67,23,30,17,4,59,63,77,92,46,19,82,27,61,9,99,35,55,39,14,98,34,81,20,0,48,70,11,3,68,28,8,43,97,2,86,93,21,10,6,62,69,7,32,83,47,12,37,29,76,5,96,45,24,64,65,38,60,66,41,95,71,26,42,80,54,94,85,79,13,52,31,78,25,89,84,49,91,90,22,51,88,53,1"
18,"0.996945,0.344424","72,15,73,16,23,30,50,75,74,59,58,57,33,36,44,4,56,67,46,87,40,77,48,17,92,63,27,82,69,19,61,34,97,99,39,3,98,10,9,35,76,32,62,55,47,81,14,21,11,68,20,70,96,45,0,12,6,71,54,93,86,28,41,2,5,37,43,66,7,8,85,24,26,79,83,42,95,29,60,64,65,38,13,80,78,94,52,25,31,89,84,90,49,22,91,53,51,88,1"
51,"0.048012,0.813471","88,84,22,91,90,1,49,53,13,78,89,95,42,60,7,93,24,86,37,52,6,29,68,5,79,11,2,80,28,94,81,21,26,70,98,39,43,66,34,99,35,25,9,12,64,27,3,41,20,85,62,61,45,14,96,77,82,97,47,83,46,63,38,10,32,8,55,40,17,71,65,48,31,44,36,56,87,54,59,0,33,57,19,76,30,23,74,69,15,50,92,58,72,18,67,73,75,16,4"
64,"0.142857,0.211158","83,38,25,94,80,65,8,43,31,29,52,20,2,14,28,70,55,60,9,0,35,61,81,89,78,82,11,13,63,7,17,99,86,19,40,87,49,77,39,93,91,68,98,27,56,92,34,84,95,88,44,51,33,6,46,57,42,22,37,74,67,58,24,36,90,21,50,5,4,15,1,53,3,59,75,73,30,79,23,16,97,66,26,12,62,48,18,72,47,10,45,96,41,32,85,71,76,69,54"
67,"0.805453,0.049915","4,92,58,75,50,73,16,74,19,33,57,87,56,15,17,40,18,44,63,0,72,55,82,77,61,23,36,30,14,59,9,20,46,35,27,8,99,70,81,39,43,83,98,11,28,34,2,65,38,48,64,68,86,93,29,31,3,7,97,21,6,80,94,25,60,10,62,69,32,52,37,47,12,5,24,76,96,45,13,95,78,42,66,41,26,71,89,54,85,79,49,91,84,90,51,22,88,53,1"
49,"0.009858,0.653396","91,89,78,13,88,51,84,60,22,52,90,29,1,7,80,95,94,53,42,86,2,93,28,25,43,11,68,70,81,64,6,37,24,35,98,99,39,5,9,20,79,34,83,38,14,21,61,27,82,8,26,65,66,77,31,55,63,3,12,40,17,46,41,62,87,97,85,56,45,96,0,44,47,36,10,32,19,48,33,57,59,71,74,30,92,54,23,15,50,58,76,67,69,72,75,73,18,4,16"
57,"0.759080,0.306894","33,74,44,50,56,15,58,40,87,36,17,73,77,75,63,59,16,30,23,46,18,82,72,67,27,61,19,4,92,9,99,35,39,55,98,14,34,81,20,11,70,48,0,68,28,3,43,86,2,8,93,97,21,6,7,62,10,32,83,47,69,37,29,12,5,96,24,45,76,64,60,66,38,65,95,42,41,26,80,71,94,85,13,54,79,78,52,25,31,89,84,49,91,90,22,51,88,53,1"
63,"0.547818,0.314439","82,40,17,61,77,87,56,9,35,14,99,44,20,55,27,81,33,70,57,19,39,11,46,28,98,74,43,2,36,50,0,92,58,8,34,86,68,15,59,93,7,67,83,29,30,75,23,73,4,64,16,6,60,38,18,21,72,80,65,3,94,48,37,52,13,97,25,78,95,24,5,42,31,62,10,89,12,47,32,66,26,96,45,49,79,91,41,84,69,85,76,90,51,22,71,88,54,53,1"
76,"0.933309,0.904361","69,54,71,32,10,47,48,96,45,97,62,41,85,12,3,66,26,21,59,30,23,36,5,46,79,34,37,6,24,72,27,98,44,39,18,15,68,93,42,77,99,57,95,33,74,86,11,56,50,7,81,73,16,40,63,82,35,58,75,17,9,61,87,70,90,53,28,2,84,22,60,14,13,20,4,43,67,78,19,55,51,1,29,92,88,91,89,49,8,0,80,52,94,83,64,25,38,65,31"
19,"0.575073,0.101407","92,87,0,55,17,40,63,56,14,67,61,82,33,58,20,8,57,74,4,9,77,50,44,35,75,83,70,43,73,15,99,81,16,27,28,65,2,38,36,46,11,64,39,98,59,18,29,31,30,23,72,34,86,80,68,94,7,25,93,60,52,6,21,3,48,13,78,37,97,89,95,24,5,42,62,10,12,49,47,32,91,66,96,45,26,69,84,79,41,76,51,88,85,22,90,71,54,53,1"
28,"0.313397,0.415316","2,70,43,81,35,29,11,9,20,7,60,86,99,14,61,82,39,93,80,68,98,94,63,52,77,55,64,13,78,27,8,83,17,40,34,89,25,87,38,6,56,95,46,49,65,42,0,44,37,19,91,21,24,84,31,33,5,57,36,51,88,3,22,90,74,92,59,50,79,97,58,66,15,53,12,62,26,30,48,23,1,67,47,10,45,96,41,32,75,73,4,85,16,72,18,71,76,54,69"
30,"0.891181,0.490709","23,59,36,15,72,18,44,46,57,74,33,50,48,73,16,56,58,75,27,77,97,69,3,34,40,10,63,17,87,39,98,32,62,82,99,76,47,21,61,4,67,35,96,45,9,12,68,81,11,6,71,19,92,54,93,41,86,66,5,37,70,14,85,26,55,24,20,28,7,2,79,43,42,95,0,8,60,29,83,13,78,64,80,94,38,90,84,65,52,89,22,53,25,91,49,51,88,31,1"
47,"0.728992,0.877130","32,96,62,45,10,97,12,41,71,3,85,66,48,54,26,21,76,5,79,69,37,24,6,34,46,98,59,68,36,42,39,27,93,30,95,23,86,99,44,11,77,7,81,15,72,35,57,90,56,33,53,82,9,63,18,40,70,74,61,28,17,84,22,2,50,13,60,87,78,51,1,58,73,43,20,14,16,88,29,75,91,89,49,55,19,67,80,52,92,4,94,8,64,0,83,25,38,65,31"
79,"0.470650,0.948117","26,66,5,24,37,12,41,42,85,21,6,95,45,96,62,3,47,97,32,10,90,53,68,93,71,34,86,98,22,7,54,84,39,48,1,11,51,27,76,99,13,46,88,78,81,60,91,69,49,36,35,28,77,70,2,89,59,9,44,29,82,30,61,63,43,23,40,56,17,20,52,57,14,33,80,87,15,94,74,72,55,50,18,64,25,8,58,83,19,73,16,75,38,0,92,65,67,4,31"
16,"0.956275,0.202535","73,75,50,58,18,15,74,4,72,67,57,33,23,30,44,56,92,59,36,87,40,17,19,63,46,77,82,27,61,55,9,48,99,0,35,14,39,34,98,20,81,69,70,11,3,97,8,10,68,28,43,21,62,32,2,86,76,93,47,6,83,7,12,96,45,37,5,71,29,65,54,24,64,38,66,41,26,85,60,95,42,80,94,79,31,13,25,52,78,89,84,49,91,90,22,51,53,88,1"
27,"0.574392,0.500775","39,99,98,77,46,34,11,35,81,44,82,68,63,9,36,61,40,56,86,93,17,70,6,59,21,57,33,87,7,28,3,2,14,20,30,74,37,97,48,43,23,15,5,24,55,62,50,95,42,12,10,60,19,58,29,47,66,32,26,96,45,72,18,13,79,8,73,41,78,75,92,16,0,85,67,83,80,64,71,94,52,69,4,76,89,84,54,38,90,49,91,22,25,65,51,53,88,31,1"
65,"0.168043,0.055901","38,31,83,8,64,25,0,55,94,20,80,14,43,29,52,2,28,70,19,61,9,35,82,17,63,81,87,60,40,92,11,99,77,89,78,56,7,13,86,39,27,98,49,93,68,33,67,44,57,91,58,74,34,4,46,50,95,6,36,84,88,75,15,51,42,73,37,16,59,22,21,24,30,5,90,23,3,18,72,1,53,97,48,79,62,66,12,26,10,47,32,45,96,41,85,71,69,76,54"
50,"0.839419,0.247988","74,58,57,33,15,75,73,16,18,56,44,67,4,72,23,87,30,36,40,59,92,17,63,19,77,46,82,61,27,9,55,99,35,14,39,0,98,34,20,81,48,70,11,3,8,28,68,97,43,2,86,93,21,69,10,62,6,32,7,83,47,76,12,37,29,96,45,5,64,65,38,24,60,66,71,41,95,26,54,42,80,85,94,31,79,13,52,25,78,89,84,49,91,90,22,51,88,53,1"
61,"0.483621,0.320658","82,9,63,35,17,40,14,77,20,87,70,81,55,99,56,28,27,43,11,2,39,19,44,98,8,33,57,46,86,0,68,34,29,7,83,93,74,36,92,64,50,58,60,80,15,38,59,94,65,6,67,52,30,21,25,23,13,75,78,4,73,3,37,16,95,31,42,24,18,5,89,72,48,97,62,49,12,10,91,66,47,84,32,26,79,96,45,51,41,22,90,88,85,69,53,71,76,54,1"
72,"0.999910,0.385525","18,23,15,30,73,16,59,50,74,75,36,57,58,33,44,46,56,4,67,48,77,40,87,69,27,17,63,92,82,97,34,3,19,10,61,39,76,99,98,32,62,9,47,35,21,81,96,11,45,55,68,14,12,54,71,6,70,20,93,86,0,41,66,5,28,37,85,2,26,7,24,43,8,79,42,95,29,83,60,64,13,65,38,78,80,94,52,25,89,31,84,90,22,49,53,91,51,88,1"
87,"0.599401,0.232473","17,40,56,63,82,19,61,33,77,57,55,44,14,9,92,74,35,58,20,50,0,27,99,67,70,81,15,46,36,8,4,75,39,43,28,11,73,98,2,16,59,30,34,23,83,18,86,68,72,93,29,64,7,65,38,60,6,80,94,3,21,48,31,25,52,97,37,13,78,95,62,5,24,10,42,12,47,32,89,66,96,45,26,69,49,79,41,91,76,84,85,71,51,90,22,54,88,53,1"
2,"0.291696,0.413793","28,70,43,29,81,35,11,9,20,60,7,86,14,99,80,61,94,52,82,93,39,64,13,68,78,98,55,63,83,8,77,27,89,25,17,40,38,34,87,6,95,49,65,56,91,42,46,0,37,19,44,84,31,24,21,51,5,88,33,57,36,22,90,3,74,92,59,79,53,50,66,97,58,26,12,62,15,1,30,48,23,67,47,10,45,96,41,32,75,4,73,85,16,18,72,71,76,54,69"
13,"0.136304,0.617476","78,60,89,49,91,7,84,51,88,29,86,52,95,22,2,93,28,80,42,90,11,94,68,70,43,81,6,53,1,37,24,35,98,99,39,25,9,64,5,20,34,21,27,14,61,79,82,83,77,38,63,8,26,66,55,3,46,40,17,65,12,31,87,62,56,97,44,41,85,45,96,47,36,0,10,19,32,48,33,57,59,71,74,30,23,15,92,50,58,54,76,67,69,72,75,73,18,16,4"
24,"0.439966,0.830977","37,5,6,42,79,95,21,26,66,93,68,12,3,34,41,86,62,7,98,85,45,96,97,90,47,39,53,11,10,32,84,22,99,27,13,81,71,46,48,51,60,78,1,88,35,28,91,70,2,54,77,49,9,89,36,29,76,82,61,59,44,43,63,40,69,30,20,56,17,52,14,23,80,57,33,87,94,55,15,74,64,50,8,72,25,83,18,19,58,38,0,73,75,16,65,92,67,31,4"
44,"0.713122,0.393262","57,33,56,36,77,46,74,40,59,15,27,63,17,50,87,30,82,23,58,61,99,39,98,9,35,34,72,18,73,75,16,81,19,11,14,48,70,67,92,55,68,20,3,4,86,93,28,97,21,2,6,43,7,62,10,0,32,47,37,8,12,5,24,69,96,45,29,66,60,95,76,83,42,26,41,71,64,85,79,13,54,80,38,78,94,65,52,25,89,31,84,49,90,91,22,51,53,88,1"
89,"0.036889,0.586909","49,78,13,91,60,52,88,84,51,29,80,94,7,22,2,28,86,90,95,25,43,93,1,70,42,11,64,81,53,68,35,6,20,99,9,37,39,24,98,83,38,14,5,61,34,8,82,27,65,21,31,79,55,77,63,17,40,26,66,46,3,87,12,0,56,44,62,97,41,19,36,85,45,96,47,33,10,57,32,48,59,74,92,71,30,50,15,23,58,54,67,76,75,73,72,4,69,18,16"
8,"0.302951,0.129074","83,55,14,65,20,38,0,64,43,31,61,70,9,19,2,28,25,82,35,94,29,17,80,63,87,40,81,52,92,77,99,11,56,60,27,39,7,86,33,98,44,57,78,67,93,68,13,74,58,89,46,50,34,4,36,49,15,75,6,91,73,95,59,16,42,37,21,30,84,23,24,88,18,3,51,5,72,22,90,97,48,62,12,66,79,26,53,10,47,1,32,45,96,41,85,71,69,76,54"
23,"0.912149,0.473754","30,59,72,15,36,18,44,74,57,50,33,46,73,48,16,75,58,56,27,77,69,40,97,3,34,87,17,63,10,39,98,82,32,62,99,76,4,67,47,61,21,35,9,96,45,12,92,68,19,81,11,6,71,54,93,41,86,70,14,66,5,37,55,85,20,26,24,28,7,2,43,79,0,42,95,8,29,60,83,13,78,64,80,38,94,65,52,90,84,89,22,53,25,91,49,51,31,88,1"
29,"0.181094,0.404768","80,2,43,52,60,94,28,70,64,78,13,25,20,7,89,81,11,35,83,9,86,14,38,8,49,99,93,61,55,91,68,82,65,39,98,63,31,77,95,84,27,17,40,88,51,34,42,6,0,87,22,37,56,19,90,24,46,21,5,44,53,1,33,57,36,3,79,92,74,66,26,59,12,97,50,62,58,15,48,30,67,47,41,10,23,45,96,32,85,4,75,73,16,18,72,71,54,76,69"
77,"0.576439,0.400504","82,63,27,40,99,61,56,17,44,35,9,39,46,87,81,98,33,11,57,36,70,34,14,20,74,28,68,55,86,59,2,93,19,43,50,15,7,30,58,23,6,21,3,92,8,0,29,48,75,73,67,37,60,97,72,18,16,83,5,24,4,62,95,64,42,10,80,12,13,47,78,94,32,38,66,52,96,65,45,26,79,25,41,89,69,85,31,84,76,71,49,91,90,54,22,51,88,53,1"
11,"0.405179,0.511659","81,86,99,39,98,68,35,7,93,70,28,2,9,27,34,77,61,82,43,60,6,63,20,29,14,46,95,40,13,37,17,21,78,42,24,56,44,55,5,87,80,3,36,52,89,94,8,64,33,57,83,84,49,97,91,59,66,79,62,12,19,26,25,90,48,74,22,51,38,0,88,30,47,10,15,45,96,50,23,32,41,65,53,58,85,92,1,31,72,71,67,75,73,18,16,4,76,54,69"
46,"0.679546,0.526555","36,27,44,34,59,77,39,98,99,30,56,57,3,23,33,48,63,40,82,68,21,15,97,35,11,17,81,74,61,9,6,87,93,86,62,50,10,70,72,47,32,37,12,18,5,7,58,28,24,96,45,14,20,2,66,73,75,16,26,55,41,69,19,43,95,42,76,85,71,79,92,67,60,54,29,4,8,13,0,78,83,80,64,84,94,52,90,89,22,38,91,49,53,51,65,25,88,1,31"
81,"0.408124,0.454510","11,35,70,99,9,28,2,39,86,98,61,82,7,43,27,68,77,93,20,63,14,34,29,40,60,17,55,46,6,56,87,44,13,78,80,95,8,37,21,94,64,52,42,36,83,33,24,57,19,5,89,3,0,25,38,59,74,49,91,84,97,65,50,15,62,30,66,48,12,92,58,79,23,26,51,22,90,88,10,47,31,32,45,96,41,67,53,75,73,85,72,18,16,4,1,71,76,69,54"
99,"0.484276,0.478550","39,81,11,27,35,98,77,9,82,70,68,86,61,34,63,93,28,46,7,2,40,17,20,44,43,56,14,6,87,36,21,55,60,29,33,37,57,3,95,24,59,5,42,13,74,19,78,8,97,30,48,80,15,62,50,23,83,64,94,12,52,66,0,58,89,10,26,47,79,92,32,45,96,84,38,49,25,41,91,72,65,75,73,18,90,67,85,22,16,51,88,4,53,71,31,76,69,54,1"
